time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,omg_p,omg_q,omg_r,orient_0,orient_1,orient_2,orient_3
12.64,-3.8814086726428787,-31.870902468624863,1082.2919005275455,-0.274284897984881,-1.7524025485376775,-48.66820155045436,0.020985035766249577,0.28661396999994965,-7.802326114547388,-0.01615307852566912,0.023041838638202455,3.9060398683862436,-0.031014652436080755,-0.4813974135443432,-0.8737696922468725,0.062138862888808065
12.65,-3.884150571232267,-31.888412048253766,1081.8048284852366,-0.2740631974892728,-1.7494968131423836,-48.746198628084095,0.005381915455585095,0.2677497568137192,-7.79323020352786,-0.014682653812536781,0.023391655950316732,3.9121533790384695,-0.03215888542558047,-0.4983874467774496,-0.8642026521931359,0.06139727852025174
12.66,-3.886890356226216,-31.905892351549532,1081.3169767596733,-0.2738884379335847,-1.7465421473391773,-48.82413897717548,-0.017304704580065198,0.24385027670245923,-7.783399684081607,-0.013136186206808759,0.023712311334425026,3.9182621830910973,-0.033287387489179254,-0.5152135308409607,-0.8542893078097087,0.060636935921664824
12.67,-3.889628932735978,-31.923343942673302,1080.8283460701516,-0.273880893597596,-1.7438174520189824,-48.90198234687051,0.0040750827382807645,0.26838196652347995,-7.780555520315307,-0.01296423678169282,0.02448979082126685,3.92436622081315,-0.03440026582740795,-0.5318682581087114,-0.8440320966701709,0.05985557748900154
12.68,-3.8923675086810468,-31.940770329598024,1080.3389375600277,-0.27384703887248907,-1.7415388963779133,-48.979697681071684,0.09713229192204431,0.3593027572987429,-7.7873040955871815,-0.014476509111933626,0.02571890864642256,3.9304654010806592,-0.03549979351186834,-0.5483440997245046,-0.8334340463379599,0.05904481740760297
12.69,-3.8951028521294386,-31.95816973201857,1079.8487516104228,-0.2733298555213109,-1.7384205908283743,-49.0574701503661,0.029526513014650667,0.2943495891333259,-7.7715199134541155,-0.011249133957783368,0.02525710629741707,3.9365598895597116,-0.03658277348749549,-0.5646338702378034,-0.8224971613387705,0.05821339478812024
12.700000000000001,-3.8978349388297477,-31.975539649998083,1079.3577885013449,-0.27314482499687853,-1.7355937525176677,-49.13513647665598,0.029638694880311393,0.2916693228781485,-7.764749504806467,-0.010183757438248692,0.025529481002614263,3.942649645840549,-0.03764784752067356,-0.5807302958003959,-0.8112238469025054,0.05736653768508749
12.71,-3.900565737024935,-31.992881520901257,1078.8660490816765,-0.27299951822693214,-1.732768687701352,-49.212738513932,0.037006589863037384,0.2951416866676004,-7.758864501502446,-0.009239022676238282,0.025841521379698282,3.948734654973331,-0.038696265592716515,-0.5966259783752896,-0.7996174432080617,0.05649844922921716
12.72,-3.903294704090624,-32.01019490915974,1078.3735339277866,-0.27278145300973283,-1.7299036159526806,-49.29028239227139,0.026970435441843528,0.2887460202954766,-7.751518556966482,-0.007885600057652174,0.02601045928782911,3.954814895279422,-0.03972690146790587,-0.6123136918247817,-0.7876809120651306,0.05561112092691379
12.73,-3.9060213379324447,-32.02747960535266,1077.8802436490912,-0.27257003377913874,-1.727048027820214,-49.36776081213747,0.015269252190686672,0.2827031744452195,-7.744211079517141,-0.0065902270444029186,0.026155651807534423,3.9608903528089074,-0.0407388346529802,-0.6277862288922259,-0.7754174025418017,0.0547060754136287
